HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041816,      "118",  1,      43.213530,      89.220850,     112.130800,      2.695000,       10-02-2021/05:18:39.0,  0.000000,       107,   00001100;
                411041817,      "119",  1,      43.173970,      89.284990,     111.921600,      2.695000,       10-02-2021/05:19:06.0,  0.000000,       107,   00001100;
                411041818,      "120",  1,      45.571580,      89.265950,     113.066000,      2.695000,       10-02-2021/05:19:26.0,  0.000000,       107,   00001100;
                411041819,      "121",  1,      45.575830,      89.394070,     113.026000,      2.695000,       10-02-2021/05:19:45.0,  0.000000,       107,   00001100;
                411041820,      "122",  1,      49.251460,      89.374810,     88.929700,       2.695000,       10-02-2021/05:20:22.0,  0.000000,       107,   00001100;
                411041821,      "123",  1,      49.234740,      89.583340,     88.731400,       2.695000,       10-02-2021/05:20:34.0,  0.000000,       107,   00001100;
                411041822,      "124",  1,      46.271100,      89.400020,     88.242200,       2.695000,       10-02-2021/05:20:52.0,  0.000000,       107,   00001100;
                411041823,      "125",  1,      46.270000,      90.044870,     88.129600,       2.695000,       10-02-2021/05:21:08.0,  0.000000,       107,   00001100;
                411041824,      "126",  1,      43.493210,      89.405280,     87.038600,       2.695000,       10-02-2021/05:21:27.0,  0.000000,       107,   00001100;
                411041825,      "127",  1,      43.474200,      90.010530,     87.050100,       2.695000,       10-02-2021/05:21:47.0,  0.000000,       107,   00001100;
                411041826,      "128",  1,      40.573180,      89.360620,     86.219700,       2.695000,       10-02-2021/05:22:04.0,  0.000000,       107,   00001100;
                411041827,      "129",  1,      40.553360,      89.580650,     86.202900,       2.695000,       10-02-2021/05:22:18.0,  0.000000,       107,   00001100;
                411041828,      "130",  1,      37.352100,      89.352690,     85.525900,       2.695000,       10-02-2021/05:22:32.0,  0.000000,       107,   00001100;
                411041829,      "131",  1,      37.350590,      89.484370,     85.655700,       2.695000,       10-02-2021/05:22:43.0,  0.000000,       107,   00001100;
                411041830,      "132",  1,      41.333500,      89.214190,     61.246100,       2.695000,       10-02-2021/05:23:25.0,  0.000000,       107,   00001100;
                411041831,      "133",  1,      41.330270,      89.501820,     61.188400,       2.695000,       10-02-2021/05:23:37.0,  0.000000,       107,   00001100;
                411041832,      "134",  1,      46.184450,      89.115140,     62.194200,       2.695000,       10-02-2021/05:23:52.0,  0.000000,       107,   00001100;
                411041833,      "135",  1,      46.193510,      89.375820,     62.142400,       2.695000,       10-02-2021/05:24:03.0,  0.000000,       107,   00001100;
                411041834,      "136",  1,      49.582280,      89.183570,     63.207800,       2.695000,       10-02-2021/05:24:19.0,  0.000000,       107,   00001100;
                411041835,      "137",  1,      49.584240,      89.362020,     63.230300,       2.695000,       10-02-2021/05:24:28.0,  0.000000,       107,   00001100;
