HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
        SLOPE (TgtNo, TgtID, CfgNo, Hz, Vz, SDist, RefHt, Date, Ppm, ApplType, Flags)
                444596229,      "101",  1,      208.360560,     89.411220,     61.103900,       2.700000,       06-07-2022/09:08:46.0,  0.000000,       107,   00001110;
                444596232,      "102",  1,      27.005390,      88.495540,     85.687900,       2.700000,       06-07-2022/09:11:09.0,  0.000000,       107,   00001110;
                444596233,      "103",  1,      27.003570,      88.525300,     85.660300,       2.700000,       06-07-2022/09:11:25.0,  0.000000,       107,   00001110;
                444596234,      "104",  1,      25.111720,      88.374900,     90.192900,       2.700000,       06-07-2022/09:12:06.0,  0.000000,       107,   00001110;
                444596235,      "105",  1,      25.112080,      88.570360,     90.272000,       2.700000,       06-07-2022/09:12:26.0,  0.000000,       107,   00001110;
                444596236,      "106",  1,      23.231760,      88.421690,     94.947100,       2.700000,       06-07-2022/09:12:50.0,  0.000000,       107,   00001110;
                444596237,      "107",  1,      23.234400,      88.542190,     94.878800,       2.700000,       06-07-2022/09:13:07.0,  0.000000,       107,   00001110;
                444596238,      "108",  1,      20.582720,      89.045840,     103.046300,      2.700000,       06-07-2022/09:13:51.0,  0.000000,       107,   00001110;
                444596239,      "109",  1,      20.573340,      89.234280,     102.952000,      2.700000,       06-07-2022/09:14:04.0,  0.000000,       107,   00001110;
                444596240,      "110",  1,      18.154630,      89.032190,     111.404000,      2.700000,       06-07-2022/09:14:47.0,  0.000000,       107,   00001110;
                444596241,      "111",  1,      18.160760,      89.102320,     111.428400,      2.700000,       06-07-2022/09:15:08.0,  0.000000,       107,   00001110;
                444596242,      "112",  1,      4.054880,       89.380790,     95.419300,       2.700000,       06-07-2022/09:16:06.0,  0.000000,       107,   00001110;
                444596243,      "113",  1,      4.054860,       89.520950,     95.256900,       2.700000,       06-07-2022/09:16:18.0,  0.000000,       107,   00001110;
                444596244,      "114",  1,      5.154160,       89.350850,     90.300400,       2.700000,       06-07-2022/09:16:49.0,  0.000000,       107,   00001110;
                444596245,      "115",  1,      5.155230,       89.554870,     90.320100,       2.700000,       06-07-2022/09:16:57.0,  0.000000,       107,   00001110;
                444596246,      "116",  1,      7.223520,       89.281570,     83.165800,       2.700000,       06-07-2022/09:17:34.0,  0.000000,       107,   00001110;
